"fips","county_name","state_postal","region","election_date","racetype","tvotes","clinton","obama","edwards","margin","winner","POP05_SQMI","popUnder30_00","pop65up_00","presVote04","kerry04","Bush04","pres04margin","pres04winner","pop06","pop00","hisp06","white06","black06","indian06","asian06","hawaii06","mixed06","pct_less_30k","pct_more_100k","pct_hs_grad","pct_labor_force","pct_homeowner","unempFeb07","unempFeb08","unempChg","pctUnins00","subForPctHomes","poverty05","median_hhi05","Catholic","So.Bapt.Conv","Un.Methodist","E.L.C.A.","Construction","Manufacturing","FinancialActivities","GoodsProducing","ServiceProviding","black06pct","hisp06pct","white06pct","growth"
51775,"Salem","VA","S","2/12/08","Primary",2531,1429,1086,11,-0.135519557,"clinton",1714.9,30.4,16.8,11484,0.370428422,0.619557645,0.249129223,"bush",24825,24782,322,22231,1635,36,317,6,278,0.3668,0.08486862,0.8197,0.6395,0.6757,3.2,3.6,0.4,5.6,0.1,7.8,42181,0.0484907261486241,0.238493554774316,0.110760900311149,0,0,21.24636687,3.330745762,28.22017222,71.77982778,0.0658610271903323,0.0129707955689829,0.895508559919436,0.17351303365345
51790,"Staunton","VA","S","2/12/08","Primary",2497,949,1526,12,0.231077293,"obama",1168.7,30.5,18,9629,0.390071659,0.602866341,0.212794683,"bush",23334,23845,316,19652,2784,62,124,2,394,0.463,0.065695693,0.7564,0.5869,0.6137,3.7,4.3,0.6,10.5,0,13.7,37372,0.0643944157967551,0.115247557959167,0.147109378275269,0,0,4.386756688,5.394086002,8.571325414,91.42867459,0.119310876832091,0.0135424702151367,0.842204508442616,-2.14300691968966
51800,"Suffolk","VA","S","2/12/08","Primary",12372,2775,9509,40,0.544293566,"obama",190,29.6,11.4,32189,0.473236199,0.520767964,0.047531766,"bush",81071,64214,1729,43902,33359,190,1014,17,860,0.3646,0.089995706,0.7683,0.6358,0.7222,3.4,4,0.6,12.4,0.26,11.9,53548,0.0104276269296606,0.143599729886772,0.0577602588061624,0.00455423465301443,7.815091211,10.96254837,3.544776119,20.76077944,79.23922056,0.411478827200849,0.0213269849884669,0.54152532964932,26.2512847665618
51810,"Virginia Beach","VA","S","2/12/08","Primary",51414,17446,33544,261,0.31310538,"obama",1718.1,35.9,8.4,175687,0.402226687,0.59055024,0.188323553,"bush",435619,426395,22051,292698,85000,1710,23382,420,10358,0.2455,0.120942865,0.9045,0.7291,0.6556,2.8,3.4,0.6,12.3,0.14,7.4,58238,0.0962288686605982,0.0465694862165702,0.0458687334952746,0.00464895345638049,8.275307335,4.067189613,9.478565996,12.39181083,87.60818917,0.19512463873247,0.050619922455173,0.671912841267254,2.16325238335346
51820,"Waynesboro","VA","S","2/12/08","Primary",1757,765,971,14,0.117245304,"obama",1352.9,27.7,17.6,7963,0.350621625,0.639457491,0.288835866,"bush",21454,19609,1027,17571,2259,55,146,6,390,0.4516,0.053979322,0.7788,0.609,0.6116,3.9,5,1.1,12.5,0,13.4,37357,0.0675204918032787,0.162756147540984,0.113217213114754,0.0142418032786885,8.849210592,23.8354895,3.891799423,32.6847001,67.3152999,0.105295049874149,0.0478698610981635,0.819008110375688,9.40894487225254
51830,"Williamsburg","VA","S","2/12/08","Primary",2082,617,1452,7,0.401056676,"obama",1419,59.7,11.7,4320,0.512962963,0.477777778,-0.035185185,"kerry",11793,11986,377,9107,1485,32,602,6,184,0.4029,0.132466814,0.8961,0.675,0.4427,6.8,9,2.2,13,NA,22.7,38454,0,0.117436239373229,0.184864144024004,0.0439239873312219,0,0,4.469727753,1.665989435,98.33401056,0.125922157211905,0.0319681166793861,0.772237768167557,-1.61021191389955
51840,"Winchester","VA","S","2/12/08","Primary",2454,948,1460,25,0.208638957,"obama",2676.7,35.6,14.5,9343,0.424595954,0.56545007,0.140854115,"bush",25265,23673,2757,18792,2613,49,501,8,545,0.4322,0.08395037,0.7535,0.6706,0.4571,3.3,4,0.7,13.2,0.1,12.4,39935,0.220818316726733,0.0154335382658469,0.188424846300615,0.0417214331142675,0,13.9052425,5.050080281,17.19295563,82.80704437,0.103423708687908,0.109123293093212,0.743795764892143,6.72496092594939
53001,"Adams","WA","W","2/9/08","Caucus",29,13,15,0,0.068965517,"obama",8.9,29.6,10.4,5127,0.256485274,0.73161693,0.475131656,"bush",16887,16461,8864,7677,21,60,124,2,139,0.4309,0.038144528,0.6327,0.623,0.6845,9.5,9.2,-0.3,25.3,0.8,18.3,36429,0.102325298271244,0.00560019478938398,0.0328707085463842,0.044436328220112,1.953102495,18.83389987,1.964625223,51.81194907,48.18805093,0.0012435601350151,0.524900811274945,0.454610055071949,2.58793511937305
53003,"Asotin","WA","W","2/9/08","Caucus",75,27,45,0,0.24,"obama",31.7,26.5,16.3,8786,0.377760073,0.605508764,0.227748691,"bush",21247,20565,521,19873,55,254,158,5,381,0.4461,0.064176245,0.858,0.6173,0.671,6.3,7.1,0.8,13.8,0.03,17.6,36096,0.0963456766094107,0.0132840251082672,0.0235025059607805,0.0134786628387913,12.02844311,11.57934132,4.752994012,25.23203593,74.76796407,0.0025886007436344,0.0245211088624276,0.935332046877206,3.31631412594213
53005,"Benton","WA","W","2/9/08","Caucus",494,190,295,0,0.212550607,"obama",90,28.8,10.3,66886,0.322175044,0.663068505,0.340893461,"bush",159463,143154,23985,125935,1638,1182,3963,168,2592,0.293,0.113242199,0.851,0.6719,0.6877,6.2,5.7,-0.5,14.9,0.14,11.1,52683,0.126731005439551,0.0223126864362169,0.0341323039129672,0.0217862782944376,7.600693615,6.858795311,4.081219434,24.23603684,75.76396316,0.0102719753171582,0.150411067144102,0.789744329405567,11.3926261229166
