fips,name,lon,lat
72073,Jayuya,-66.58829066079105,18.212473790595133
48293,Limestone,-96.5814470091489,31.545540009916838
19055,Delaware,-91.3672264912797,42.47142990230907
31159,Seward,-97.13915012231729,40.87226243871546
48507,Zavala,-99.76044339983761,28.86590808990258
06091,Sierra,-120.51767339303207,39.58043380188722
17201,Winnebago,-89.16154169558311,42.336469465799325
23031,York,-70.71458182031861,43.479290840515226
24011,Caroline,-75.83080880644327,38.869757286846934
26119,Montmorency,-84.12636871169504,45.02807286410522
38077,Richland,-96.94927798726896,46.26433261137504
42007,Beaver,-80.35009894683284,40.68253517818365
48079,Cochran,-102.82919720795313,33.603911763069846
26051,Gladwin,-84.38907955158946,43.99074816904002
08121,Washington,-103.20119588221539,39.97113015796142
19019,Buchanan,-91.83759554124403,42.4710945465823
19187,Webster,-94.18129090554672,42.42784968096415
20057,Ford,-99.88728225157959,37.69179572345537
26135,Oscoda,-84.12975477189771,44.68176431588315
28099,Neshoba,-89.11798735183922,32.75332250608475
31137,Phelps,-99.41318478903801,40.51164435666967
31039,Cuming,-96.78733501838734,41.91621806502165
45045,Greenville,-82.36979504065819,34.89305938288051
48151,Fisher,-100.40190538977092,32.74321155589203
37069,Franklin,-78.28438739635953,36.08247852478405
39039,Defiance,-84.49014850245361,41.32384414556415
47055,Giles,-87.03512483663627,35.20255490630105
48023,Baylor,-99.21379803262714,33.61674769040557
48365,Panola,-94.30529316213205,32.162119293963734
53001,Adams,-118.56205704548793,46.983531087973816
19015,Boone,-93.93041856591009,42.036612257166915
48237,Jack,-98.17306288058418,33.233675812372475
72009,Aibonito,-66.26370227773195,18.129522465740482
20017,Chase,-96.59360659306562,38.30214587303759
48099,Coryell,-97.79966454435294,31.391038675842797
26037,Clinton,-84.60262776324305,42.94398424945025
20207,Woodson,-95.74112083905838,37.88617263341633
17037,DeKalb,-88.76912396562365,41.89311551264761
19159,Ringgold,-94.24507878104036,40.73521969315367
19165,Shelby,-95.31033679846182,41.68489966930294
06019,Fresno,-119.6503309399544,36.75805177423369
19175,Union,-94.24323083985082,41.0280290925441
17123,Marshall,-89.34519874010944,41.03296302000047
17147,Piatt,-88.59146058652723,40.00996991962313
19003,Adams,-94.70022607528499,41.02914907866287
17159,Richland,-88.08519378704686,38.71256742932413
47023,Chester,-88.61359512426283,35.42201386202317
26023,Branch,-85.0592749523662,41.915807526227034
37151,Randolph,-79.80556445460869,35.71024440509262
20199,Wallace,-101.76410519099177,38.916957408840126
18177,Wayne,-85.01006755488106,39.86440746607913
51595,Emporia,-77.53595469214943,36.695052575348654
48295,Lipscomb,-100.2725159091059,36.27779947041872
47169,Trousdale,-86.15576344521274,36.39275619410235
49037,San Juan,-109.80363441919908,37.62604728100906
19123,Mahaska,-92.64085402433749,41.33491129543545
16021,Boundary,-116.46172207340356,48.7667318182258
17107,Logan,-89.36706218082543,40.124333730630156
20059,Franklin,-95.28662415237183,38.56440631654913
22013,Bienville,-93.05754608470428,32.34721191416845
06005,Amador,-120.64816582368985,38.44763795089085
06017,El Dorado,-120.52448350580984,38.77878030903659
05065,Izard,-91.91222494550435,36.09489053201293
51530,Buena Vista,-79.3567402613116,37.732575483281046
51590,Danville,-79.40581356987973,36.58134900380379
51640,Galax,-80.90999904087647,36.676823198348565
51660,Harrisonburg,-78.8743289557149,38.43632456585918
51690,Martinsville,-79.8626312065979,36.680692087322996
18049,Fulton,-86.26392493951462,41.047246137423386
19001,Adair,-94.47140981978517,41.33089304487006
06053,Monterey,-121.23937777660173,36.21763515530726
29219,Warren,-91.15972945326173,38.76419391176976
37197,Yadkin,-80.66576272468924,36.159390137323754
26057,Gratiot,-84.60481141708655,43.292789007963236
21129,Lee,-83.71551034869248,37.594310346527955
20133,Neosho,-95.30681626591266,37.55801183160831
26067,Ionia,-85.07473516397754,42.9448591528505
26077,Kalamazoo,-85.53086589075247,42.24513302244945
21149,McLean,-87.26159199419227,37.52863693639838
27033,Cottonwood,-95.18178553708894,44.00705345264737
26085,Lake,-85.80254433982914,43.990641821790064
26105,Mason,-86.25040842527716,43.99500969139122
26107,Mecosta,-85.32578973686412,43.640580019798186
26121,Muskegon,-86.15233510163046,43.29124448020578
27047,Freeborn,-93.34885639276392,43.673657768967686
17051,Fayette,-89.02398871935021,39.00032791723988
17049,Effingham,-88.59009866058301,39.059335387445614
27009,Benton,-93.99804834958852,45.69796547936548
48129,Donley,-100.81440702007676,34.96536903254128
27041,Douglas,-95.45379023618982,45.9335946696147
40073,Kingfisher,-97.94054828500798,35.94502992804977
47053,Gibson,-88.93142164168728,35.99652883735036
47005,Benton,-88.06782448890414,36.070302711406924
45009,Bamberg,-81.05326178660061,33.21469151406426
48013,Atascosa,-98.5270154697233,28.89339858496802
46067,Hutchinson,-97.75387563601159,43.33449933470701
46019,Butte,-103.50885099248086,44.90577626452204
02105,Hoonah-Angoon,-136.56625925462166,58.74855295756451
46059,Hand,-99.00473240748244,44.54798127874979
46077,Kingsbury,-97.4913148003803,44.36956761714987
47101,Lewis,-87.4945029726646,35.52761878695088
55069,Lincoln,-89.73505571548432,45.33723248548946
47113,Madison,-88.83965735534916,35.608215010069856
51540,Charlottesville,-78.48288101611593,38.03810016459956
30037,Golden Valley,-109.17571448938803,46.381009796967255
56009,Converse,-105.50722457174597,42.97190882742195
47179,Washington,-82.49752950518928,36.29258391232234
55119,Taylor,-90.50171949516718,45.211268262580965
56029,Park,-109.58858025054892,44.52032573567644
27101,Murray,-95.76363921272923,44.02200774495036
55133,Waukesha,-88.3045507353647,43.01805008045035
27117,Pipestone,-96.2587945212007,44.023346766930544
51099,King George,-77.15715429752615,38.27326990376287
30001,Beaverhead,-112.89818825146308,45.13257180255448
30107,Wheatland,-109.84507372547276,46.46610148616836
29043,Christian,-93.18879546985151,36.96916141643315
29053,Cooper,-92.8100214912947,38.843495554709534
20029,Cloud,-97.64928474562174,39.48036766539105
51159,Richmond,-76.72859754827661,37.943719922964604
47033,Crockett,-89.14075069767682,35.8133546808642
18063,Hendricks,-86.50989797794882,39.76973201900333
20135,Ness,-99.91473649490757,38.47981967444953
17093,Kendall,-88.42920473621052,41.59070547813922
18149,Starke,-86.64891404521855,41.28081542385098
18145,Shelby,-85.7915369120497,39.52299644348095
29105,Laclede,-92.59093449583965,37.65867092573922
29117,Livingston,-93.54781088472377,39.78170386928787
26137,Otsego,-84.59887988977027,45.02101880937382
31087,Hitchcock,-101.04173420734074,40.176197883465996
26143,Roscommon,-84.61255643378655,44.33545406501404
29011,Barton,-94.34615164459926,37.501874807689866
48045,Briscoe,-101.2084147116522,34.530348578770884
26161,Washtenaw,-83.83806809057917,42.253466290604464
26015,Barry,-85.30853782576823,42.59500059229364
35029,Luna,-107.74951394901161,32.182328960744485
51169,Scott,-82.60184931644739,36.71369578344368
33007,Coos,-71.30682303490038,44.688397647374124
38095,Towner,-99.24530015935444,48.68563372099907
29145,Newton,-94.34051702683861,36.90534441399377
02195,Petersburg,-132.86851176084656,57.2790116941029
31167,Stanton,-97.19485663292285,41.91709555510953
31179,Wayne,-97.11961125522481,42.20942360988062
26109,Menominee,-87.55598029956921,45.57867321139364
48175,Goliad,-97.42517734510915,28.65771253879652
38073,Ransom,-97.65615904651595,46.456252437880174
48179,Gray,-100.81386858448364,35.400673728497594
42121,Venango,-79.75772032959635,41.40110035461053
48191,Hall,-100.6810907756028,34.53042986630784
29209,Stone,-93.45666811414554,36.74716155289347
39057,Greene,-83.89056884270633,39.69143337900143
29061,Daviess,-93.9851315916988,39.96121777726925
29199,Scotland,-92.14694086012537,40.45224451156938
48049,Brown,-98.99850599374223,31.775019784691384
48165,Gaines,-102.63554568972506,32.740587370818474
48027,Bell,-97.47891552292684,31.037333955742554
53051,Pend Oreille,-117.27378302234608,48.53228869142741
13277,Tift,-83.52527463910872,31.45709476114695
48435,Sutton,-100.53791896432756,30.49870547985811
