,date,text,screen_name,followers_count,friends_count,retweet_count,favorite_count
61,2020-02-16 22:58:56,"Did the KFILE team quit CNN cuz boy they had a lot of time to “report” on my old joke tweets.

While sleeping on Bloomberg tapes.

Bloom on video saying: 

- Said to let old people die 

- Farmers are stupid 

- throw blacks up against the wall",Cernovich,551074,3027,234,497
62,2020-02-16 22:52:32,What percentage of poltical reporters do you think are taking paychecks from Bloomberg?,Cernovich,551074,3027,584,3020
63,2020-02-16 22:49:28,"Bloomberg has said far more offensive stuff than Trump but you don’t see much coverage in the media. 

I’ve literally had CNN “report” on joke tweets but I guess they don’t have time for Bloomberg’s “let old people die,” video.

Money is all that matters.",Cernovich,551074,3027,289,861
64,2020-02-16 22:45:23,"Twitter kept us out of Syria after “gas attack,” which people weren’t buying. 

Twitter is proof that direct democracy works better for the regular citizen than our previous media-oligarchy rule. https://t.co/L1iwmwsrYr",Cernovich,551074,3027,56,222
65,2020-02-16 22:42:29,Last night in WeHo a former A-lister and still well known actor was sitting next to me scrolling twitter. It still blows my mind how people use Twitter. There’s never been a more direct line to human minds in human history - nor a more democratic one.,Cernovich,551074,3027,37,220
66,2020-02-16 22:38:49,"RT @NerdNomadMom: Me: Silas, what do you want for lunch?

Silas: Salmon.

Me: Huh? We don’t have salmon.

Silas: Guess you gotta go buy som…",Cernovich,551074,3027,6,0
67,2020-02-16 22:36:57,RT @Cernovich: How Much Money Do Farmers Make? https://t.co/KE17xGYsNX,Cernovich,551074,3027,52,0
68,2020-02-16 22:34:59,"Watch this video and then tell me how “easy” 🌽 farming is 👇🏻

https://t.co/KE17xGYsNX https://t.co/pusdVIgQWb",Cernovich,551074,3027,34,117
69,2020-02-16 22:33:20,This video is great because @AOC couldn’t even grow an urban garden with a grow box and store bought soil and seeds. https://t.co/rk3WgHTjSp,Cernovich,551074,3027,68,221
70,2020-02-16 22:31:25,"Running a farm as most do is mind blowing complex and high stress 

- seasonal planning 
- cash flow management for equipment breakdowns and ongoing expenses 
- hedging corn and soybean  
- equipment maintenance 

And on and on. 

Cerno stands with our great american farmers! https://t.co/rk3WgHTjSp",Cernovich,551074,3027,287,1064
71,2020-02-16 22:25:35,"Mike Bloomberg is truly a monster, really an authoritarian demon, and that’s what I enjoy about him.",Cernovich,551074,3027,51,360
72,2020-02-16 22:23:38,I want to see Cole the Cornstar reply to this Bloomberg video. https://t.co/rk3WgHTjSp,Cernovich,551074,3027,337,879
73,2020-02-16 22:21:05,RT @JonBlum7: @Cernovich https://t.co/ktEDUftqUF,Cernovich,551074,3027,2,0
