DBN,SCHOOL NAME,PSAL Program Code,PSAL Program Name,
75Q504,Home Instruction - Queen,28600,Queens Academy High School,
75Q752,Queens Transition Center,28600,Queens Academy High School,
28Q680,Queens Gateway to Health Sciences Secondary School,28680,Queens Gateway to Health Sciences,
28Q687,Queens High School for the Sciences at York Colleg,28687,Queens HS For Science @ York College,
26Q566,"Queens High School of Teaching, Liberal Arts and t",26515,Queens HS of Teaching,
24Q264,Academy of Finance and Enterprise,24552,Queens High School Complex,
24Q267,High School of Applied Communication,24552,Queens High School Complex,
24Q299,Bard High School Early College Queens,24552,Queens High School Complex,
28Q338,Queens Satellite High School for Opportunity,28523,Queens Satellite High School For Opportunity,
25Q252,"Queens School of Inquiry, The",25252,Queens School Of Inquiry,
24Q600,Queens Vocational and Technical High School,24539,Queens Vocational  Tec.,
84Q705,Renaissance Charter School,30885,Renaissance,
16K669,Research and Service High School,16670,Research and Service HS,
02M580,Richard R. Green High School of Teaching,02524,Richard Green Hs of Teaching,
27Q475,Richmond Hill High School,27529,Richmond Hill,
10X141,Riverdale / Kingsbridge Academy (Middle School / H,10141,Riverdale/Kingsbridge Academy,
25Q670,Robert F. Kennedy Community High School,25300,Robert F. Kennedy,
24Q520,Middle College High School at LaGuardia Community,30301,Robert F. Wagner Jr,
24Q530,International High School at LaGuardia Community C,30301,Robert F. Wagner Jr,
24Q560,"Robert F. Wagner, Jr. Secondary School for Arts an",30301,Robert F. Wagner Jr,
27Q308,Robert H. Goddard High School of Communication Art,27308,Robert H Goddard HS of Commun Arts and Tech,
10X243,West Bronx Academy for the Future,10513,Roosevelt Educational Campus,
10X374,Knowledge and Power Preparatory Academy Internatio,10513,Roosevelt Educational Campus,
10X434,Belmont Preparatory High School,10513,Roosevelt Educational Campus,
10X437,Fordham High School for the Arts,10513,Roosevelt Educational Campus,
10X438,Fordham Leadership Academy,10513,Roosevelt Educational Campus,
10X439,Bronx High School for Law and Community Service,10513,Roosevelt Educational Campus,
07X259,"H.E.R.O. High (Health, Education, and Research Occ",07525,Samuel Gompers,
84X208,New Visions Charter High School for the Humanities,07525,Samuel Gompers,
02M413,School of the Future High School,02436,School Of The Future,
13K419,"Science Skills Center High School for Science, Tec",13300,Science Skills Center,
02M294,Essex Street Academy,02517,Seward Park Campus,
02M305,"Urban Assembly Academy of Government and Law, The",02517,Seward Park Campus,
02M308,Lower Manhattan Arts Academy,02517,Seward Park Campus,
02M543,New Design High School,02517,Seward Park Campus,
02M545,High School for Dual Language and Asian Studies,02517,Seward Park Campus,
07X473,Mott Haven Village Preparatory High School,07500,South Bronx,
07X495,University Heights Secondary School,07500,South Bronx,
07X221,South Bronx Preparatory: A College Board School,07221,South Bronx Preparatory,
07X223,The Laboratory School of Finance and Technology: X,07221,South Bronx Preparatory,
15K529,West Brooklyn Community High School,15563,South Brooklyn Community High School,
15K698,South Brooklyn Community High School,15563,South Brooklyn Community High School,
18K566,Brooklyn Generation School,18563,South Shore HS,
18K567,Brooklyn Theatre Arts High School,18563,South Shore HS,
18K576,Victory Collegiate High School,18563,South Shore HS,
18K637,Academy for Conservation and the Environment,18563,South Shore HS,
18K922,South Shore Educational Complex Yabc,18563,South Shore HS,
19K404,Academy for Young Writers,19404,Spring Creek Campus,
19K422,Spring Creek Community School,19404,Spring Creek Campus,
29Q248,Queens Preparatory Academy,29531,Springfield Gardens,
29Q265,Excelsior Preparatory High School,29531,Springfield Gardens,
29Q272,George Washington Carver High School for the Scien,29531,Springfield Gardens,
29Q283,Preparatory Academy for Writers: A College Board S,29531,Springfield Gardens,
02M475,Stuyvesant High School,02519,Stuyvesant High School,
84K730,Summit Academy Charter School,15681,Summit Academy Charter School,
15K667,Sunset Park High School,15667,Sunset Park High School,
75K371,P.S. 371 - Lillian L. Rashkis,15667,Sunset Park High School,
31R460,Susan E. Wagner High School,31507,Susan Wagner,
09X227,Bronx Collegiate Academy,09517,Taft Educational Campus,
09X329,DreamYard Preparatory School,09517,Taft Educational Campus,
09X350,New Directions Secondary School,09517,Taft Educational Campus,
09X412,Bronx High School of Business,09517,Taft Educational Campus,
09X413,Bronx High School for Medical Science,09517,Taft Educational Campus,
23K514,Frederick Douglass Academy VII High School,17559,Teachers Preparatory HS/FDA VII,
23K697,Teachers Preparatory High School,17559,Teachers Preparatory HS/FDA VII,
12X242,Mott Hall V,12242,The Annex Campus,
12X478,The Cinema School,12242,The Annex Campus,
02M260,M.S. 260 Clinton School Writers & Artists,02260,The Clinton School for Writers and Artists,
12X248,"Metropolitan High School, The",12552,The Metropolitan High School,
27Q323,Scholars' Academy,27479,The Scholars Academy,
19K683,"The School for Classics: An Academy of Thinkers, W",19683,The School For Classics,
84K359,The Uft Charter School,19358,The UFT Charter School,
28Q620,Thomas A. Edison Career and Technical Education Hi,28541,Thomas Edison,
19K431,Thomas Jefferson Yabc,19543,Thomas Jefferson Campus,
19K502,FDNY - Captain Vernon A. Richard High School for F,19543,Thomas Jefferson Campus,
19K504,High School for Civil Rights,19543,Thomas Jefferson Campus,
19K507,Performing Arts and Technology High School,19543,Thomas Jefferson Campus,
19K510,World Academy for Total Community Health High Scho,19543,Thomas Jefferson Campus,
05M670,Thurgood Marshall Academy for Learning and Social,05365,Thurgood Marshall Academy,
18K563,It Takes a Village Academy,18539,Tilden Educational Campus,
18K569,Kurt Hahn Expeditionary Learning School,18539,Tilden Educational Campus,
18K629,Cultural Academy for the Arts and Sciences,18539,Tilden Educational Campus,
31R455,Tottenville High School,31509,Tottenville,
31R607,Staten Island Yabc,31509,Tottenville,
25Q525,Townsend Harris High School,25501,Townsend Harris,
19K615,Transit Tech Career and Technical Education High S,19551,Transit Tech CTE High School,
84K712,Excellence Girls Charter School,17661,Uncommon Charter High School,
01M448,University Neighborhood High School,02516,University Neighborhood,
12X372,Urban Assembly School for Wildlife Conservation,12372,Urban Assembly School for Wildlife Conservation,
84K417,Urban Dove Charter School,13419,Urban Dove Team Charter School,
24Q744,VOYAGES Preparatory,24744,Voyages Preparatory,
27Q261,Voyages Prep - South Queens,27261,Voyages South Preparatory High School,
03M415,Wadleigh Secondary School for the Performing & Vis,03325,Wadleigh Secondary School,
10X268,Kingsbridge International High School,10515,Walton Campus,
10X342,International School for Liberal Arts,10515,Walton Campus,
10X433,High School for Teaching and the Professions,10515,Walton Campus,
10X442,"Celia Cruz Bronx High School of Music, The",10515,Walton Campus,
10X503,Walton Yabc,10515,Walton Campus,
10X549,Discovery High School,10515,Walton Campus,
06M348,Washington Heights Expeditionary Learning School,06348,Washington Heights Expeditionary Learning School,
02M374,Gramercy Arts High School,02521,Washington Irving HS,
02M399,The High School For Language And Diplomacy,02521,Washington Irving HS,
02M438,International High School at Union Square,02521,Washington Irving HS,
02M473,Washington Irving Yabc,02521,Washington Irving HS,
02M533,Union Square Academy for Health Sciences,02521,Washington Irving HS,
02M534,Harvest Collegiate High School,02521,Washington Irving HS,
02M546,Academy for Software Engineering,02521,Washington Irving HS,
02M288,Food and Finance High School,02522,West 50th Street Campus,
02M296,High School of Hospitality Management,02522,West 50th Street Campus,
02M300,"Urban Assembly School of Design and Construction,",02522,West 50th Street Campus,
02M303,"Facing History School, The",02522,West 50th Street Campus,
02M542,Manhattan Bridges High School,02522,West 50th Street Campus,
84M707,John V. Lindsay Wildcat Academy Charter School,02574,Wildcat Academy,
30Q445,William Cullen Bryant High School,30533,William C. Bryant,
21K344,Rachel Carson High School for Coastal Studies,21559,William E. Grady,
21K620,William E. Grady Career and Technical Education Hi,21559,William E. Grady,
19K660,W. H. Maxwell Career and Technical Education High,19561,William H. Maxwell,
84K473,Williamsburg Charter High School,14616,Williamsburg Charter High School,
17K531,"School for Human Rights, The",17523,Wingate Educational Campus,
17K546,High School for Public Service: Heroes of Tomorrow,17523,Wingate Educational Campus,
17K745,Brooklyn Institute for Liberal Arts,17523,Wingate Educational Campus,
12X684,Wings Academy,12438,Wings Academy High School,
28Q284,York Early College Academy,28284,York Early College Academy,
30Q286,"Young Women's Leadership School, Astoria",30289,Young Women's Leadership School - Astoria,
28Q896,"Young Women's Leadership School, Queens",28896,Young Women's Leadership School - Jamaica,
