DBN,SCHOOL NAME,PSAL Program Code,PSAL Program Name,
11X288,Collegiate Institute for Math and Science,11503,Christopher Columbus Campus,
11X299,Astor Collegiate Academy,11503,Christopher Columbus Campus,
11X417,C Columbus Hs Yabc,11503,Christopher Columbus Campus,
11X418,Bronx High School for the Visual Arts,11503,Christopher Columbus Campus,
11X508,Bronxdale High School,11503,Christopher Columbus Campus,
11X509,High School of Language and Innovation,11503,Christopher Columbus Campus,
11X542,Pelham Preparatory Academy,11503,Christopher Columbus Campus,
06M293,City College Academy of the Arts,06293,City College Academy of the Arts,
24Q293,Civic Leadership Academy,24293,Civic Leadership Academy,
17K600,Clara Barton High School,17549,Clara Barton,
09X564,Claremont International HS,09564,Claremont International High School,
15K519,Cobble Hill School of American Studies,15569,Cobble Hill School of American Studies,
05M362,Columbia Secondary School,05362,Columbia Secondary School,
06M346,Community Health Academy of the Heights,06346,Community Health Academy of the Heights,
09X327,Comprehensive Model School Project M.S. 327,09327,Comprehensive Model School Project X327,
31R028,The Eagle Academy for Young Men of Staten Island,31501,Curtis,
31R450,Curtis High School,31501,Curtis,
84M065,Democracy Prep Endurance Charter School,05653,Democracy Prep Charter High School,
84M350,Democracy Prep Charter School,05653,Democracy Prep Charter High School,
84M481,Democracy Prep Harlem Charter School,05653,Democracy Prep Charter High School,
84M708,Harlem Prep Charter School,05653,Democracy Prep Charter High School,
10X351,Bronx Collaborative High School,10505,Dewitt Clinton,
10X353,World View High School,10505,Dewitt Clinton,
10X440,DeWitt Clinton High School,10505,Dewitt Clinton,
10X668,Dewitt Clinton Campus YABC,10505,Dewitt Clinton,
13K265,Dr. Susan S. McKinney Secondary School of the Arts,13866,Dr. Susan S. Mckinney School of Art,
32K545,EBC High School for Public Service - Bushwick,32300,EBC/Bushwick Leaders,
32K556,Bushwick Leaders High School for Academic Excellen,32300,EBC/Bushwick Leaders,
09X231,Eagle Academy for Young Men,09458,Eagle Academy For Young Men,
23K644,Eagle Academy for Young Men II,23644,Eagle Academy For Young Men II,
29Q327,Eagle Academy for Young Men III,29569,Eagle Academy for Young Men III,
18K673,East Brooklyn Community High School,18673,East Brooklyn Community High School,
03M860,Frederick Douglass Academy II Secondary School,04565,East Harlem Pride,
04M409,Coalition School for Social Change,04565,East Harlem Pride,
04M495,Park East High School,04565,East Harlem Pride,
04M555,Central Park East High School,04565,East Harlem Pride,
04M610,Young Women's Leadership School,04565,East Harlem Pride,
04M680,"Heritage School, The",04565,East Harlem Pride,
19K409,East New York Family Academy,19471,East New York Family Academy,
01M450,East Side Community School,01420,East Side Community,
25Q281,East-West School of International Studies,25281,East-West School  of International Studies,
03M505,Edward A. Reynolds West Side High School,03520,Edward A Reynolds West Side,
21K525,Edward R. Murrow High School,21565,Edward R. Murrow High School,
02M416,Eleanor Roosevelt High School,02563,Eleanor Roosevelt High School,
30Q258,Energy Tech High School,30258,Energy Tech High School,
27Q314,Epic High School - South,27314,Epic High School South,
17K382,Academy for College Preparation and Career Explora,17450,Erasmus Hall Campus,
17K408,Academy of Hospitality and Tourism,17450,Erasmus Hall Campus,
17K467,Erasmus Yabc,17450,Erasmus Hall Campus,
17K537,High School for Youth and Community Development at,17450,Erasmus Hall Campus,
17K539,High School for Service & Learning at Erasmus,17450,Erasmus Hall Campus,
17K543,"Science, Technology and Research Early College Hig",17450,Erasmus Hall Campus,
04M372,Esperanza Preparatory Academy,04373,Esperanza Preparatory Academy,
11X253,Bronx High School for Writing and Communication Ar,11507,Evander Childs Campus,
11X265,Bronx Lab School,11507,Evander Childs Campus,
11X275,High School of Computers and Technology,11507,Evander Childs Campus,
11X290,Bronx Academy of Health Careers,11507,Evander Childs Campus,
11X544,High School for Contemporary Arts,11507,Evander Childs Campus,
11X545,Bronx Aerospace High School,11507,Evander Childs Campus,
12X251,Explorations Academy H.S.,12251,Explorations Academy,
12X511,Bronx Envision Academy,12251,Explorations Academy,
12X682,Fannie Lou Hamer Freedom High School,12540,Fannie Lou Hamer,
27Q260,Frederick Douglass Academy VI High School,27507,Far Rockaway Educational Campus,
27Q302,"Queens High School for Information, Research, and",27507,Far Rockaway Educational Campus,
27Q309,Academy of Medical Technology: A College Board Sch,27507,Far Rockaway Educational Campus,
03M485,Fiorello H. LaGuardia High School of Music & Art a,03511,Fiorello H Laguardia,
25Q240,Veritas Academy,25509,Flushing Campus,
25Q241,Queens High School for Language Studies,25509,Flushing Campus,
25Q460,Flushing High School,25509,Flushing Campus,
25Q467,Flushing Yabc,25509,Flushing Campus,
25Q263,Flushing International High School,25511,Flushing International High School,
28Q440,Forest Hills High School,28511,Forest Hills,
20K490,Fort Hamilton High School,20517,Fort Hamilton,
25Q285,World Journalism Preparatory: A College Board Scho,26513,Francis Lewis,
26Q430,Francis Lewis High School,26513,Francis Lewis,
22K611,Origins High School,22541,Frank J. Macchiarola Educational Complex,
22K630,Professional Pathways High School,22541,Frank J. Macchiarola Educational Complex,
84K738,New Visions Charter High School for Advanced Math,22541,Frank J. Macchiarola Educational Complex,
84K739,New Visions Charter High School for the Humanities,22541,Frank J. Macchiarola Educational Complex,
30Q501,Frank Sinatra School of the Arts High School,30539,Frank Sinatra School of the Arts,
20K505,Franklin Delano Roosevelt High School,20519,Franklin D. Roosevelt,
20K658,Franklin Delano Roosevelt YABC,20519,Franklin D. Roosevelt,
19K501,Franklin K. Lane Campus YABC,27521,Franklin K. Lane Campus,
19K583,Multicultural High School,27521,Franklin K. Lane Campus,
19K618,Academy of Innovative Technology,27521,Franklin K. Lane Campus,
19K639,Brooklyn Lab School,27521,Franklin K. Lane Campus,
19K659,Cypress Hills Collegiate Preparatory School,27521,Franklin K. Lane Campus,
19K764,The Urban Assembly School for Collaborative Health,27521,Franklin K. Lane Campus,
05M499,Frederick Douglass Academy,05499,Frederick Douglass Academy,
09X517,Frederick Douglass Academy III Secondary School,09471,Frederick Douglass Academy III,
14K449,"Brooklyn Latin School, The",14449,Gaynor Campus,
14K454,The Williamsburg High School of Art and Technology,14449,Gaynor Campus,
14K586,Lyons Community School,14449,Gaynor Campus,
06M457,George Washington Yabc,06507,George Washington,
06M462,The College Academy,06507,George Washington,
06M463,High School for Media and Communications,06507,George Washington,
